zipcode,group
60629,4
79936,10
11368,9
90650,5
90011,5
91331,8
11226,5
90201,2
11373,4
11220,2
11385,8
10467,6
92335,3
77084,5
10025,1
11208,6
90280,10
77449,2
11236,5
78521,10
90805,7
11207,8
90250,8
08701,10
11219,2
60623,5
60618,7
91342,2
60632,3
60639,10
11211,7
11377,6
90044,8
92683,3
75052,1
11214,3
92336,4
92704,9
11234,7
60647,3
10456,6
11230,9
92804,9
11355,1
10314,8
91744,5
94565,3
60804,2
92503,8
11212,8
60617,9
91911,7
60608,10
93033,10
93307,8
95076,4
11206,10
92376,2
10002,3
91710,10
75217,6
30043,1
11229,10
92154,4
30044,2
10458,2
94112,6
11235,5
11221,7
11223,2
92345,4
60625,9
37013,1
10453,8
11204,8
79912,1
87121,1
90706,10
60505,5
91706,6
93722,7
11203,1
10468,5
10029,4
91910,3
10462,8
10452,7
78572,10
11218,8
92509,5
90255,2
93257,4
93550,10
85364,9
91709,6
37211,3
75070,1
77479,3
66062,3
91335,2
60634,4
95823,3
92553,10
92126,8
75211,3
22193,9
94544,9
75034,1
93065,1
92592,4
23464,3
96797,5
77429,9
33012,10
60620,3
60628,9
95630,10
93535,1
77036,4
77450,9
93727,6
60085,4
60641,1
91766,1
77573,3
28269,3
89110,8
93536,1
78577,1
77083,9
63376,3
77379,6
10457,9
92805,3
77584,5
89108,6
91402,2
07055,6
92105,5
85225,1
21234,1
90262,4
93274,10
45011,5
80013,9
94587,3
94110,10
94533,3
11209,8
94536,2
78660,2
11375,1
84118,3
99301,3
19120,9
10463,8
92882,9
90026,8
10466,6
90631,2
30349,9
90022,6
33186,1
11746,7
11233,3
47906,3
97007,3
95035,10
91730,4
37042,3
94558,3
29483,10
19124,5
11372,7
10469,5
60614,8
75228,7
07087,6
77095,4
10472,8
90003,8
30281,9
60657,10
60640,7
27610,3
85032,8
92703,6
92114,4
93230,4
33411,8
78613,5
95687,7
92021,8
95206,8
60609,3
19143,1
20906,2
30024,4
93306,3
78046,4
90019,7
30022,1
60651,6
44035,9
89121,5
94080,9
33024,4
14850,7
85308,5
78596,6
78666,2
60619,5
33311,8
11213,2
08753,9
33023,1
33015,6
11215,6
60402,1
06902,6
10701,4
92677,10
78542,6
33157,2
75002,4
48180,1
19111,3
97006,1
07002,2
90660,10
96706,3
90640,1
11706,2
84015,4
20878,8
94509,7
80015,10
90042,4
90037,7
30096,2
95123,10
90004,10
30062,10
91770,9
92562,3
92801,4
44256,7
11210,1
95624,2
17603,4
23462,10
30135,2
21740,5
92201,5
94541,1
87114,5
77494,3
92627,4
34953,3
91732,5
76063,4
10009,4
95127,1
80219,6
78501,6
94538,2
48197,6
93905,5
02301,3
10023,1
75067,5
53215,8
94015,7
85204,7
07093,7
11432,7
07047,7
11717,2
95014,4
19134,10
46307,6
89031,8
21122,1
23322,1
10128,1
06010,10
95758,6
76244,1
30127,4
91950,7
23454,3
91343,9
94501,9
44060,2
85301,9
21215,3
07305,6
11691,9
60073,3
94806,9
76028,8
10027,7
91702,6
60016,2
28277,2
90731,8
30047,8
43055,2
43130,6
78130,6
02148,3
92707,2
15601,3
93906,9
30052,1
95608,1
78520,3
75040,4
93030,7
23452,1
10312,3
10024,6
37075,2
19720,1
90006,10
92630,6
11434,2
32210,4
79924,9
10977,8
33025,10
97701,9
90813,1
78228,6
89115,4
92880,1
75150,8
92115,2
20011,8
10473,5
95111,6
98052,10
43123,8
93309,7
91977,7
95355,9
92404,3
97229,1
60411,8
75043,6
87120,5
92507,7
90034,2
02155,1
32828,10
95828,9
45601,8
92020,7
30906,2
92780,3
87105,7
33027,9
22191,9
74012,10
85705,4
73099,5
32244,1
20874,8
95020,8
85281,4
10032,6
10460,4
90745,1
